# gt	L=5	L=7	L=9	L=11	L=21	L=31	L=41	L=51	L=61	L=71	L=81	L=91	L=101	L=201	L=301	L=401	L=501	L=601	L=701	L=801	L=901
2.616350e+03	1.785867e-01	2.747294e-01	4.773107e-01	2.641403e-01	1.121918e-01	1.732660e-01	1.680214e-01	2.602865e-02	6.129281e-02	6.167775e-02	9.418698e-02	8.615760e-03	1.016442e-01	4.807382e-02	4.767565e-02	8.288757e-02	1.478204e-02	3.193034e-02	6.811332e-02	2.287738e-02	8.224089e-03
2.616900e+03	2.457036e-01	4.081855e-01	4.901622e-01	2.422118e-01	2.192249e-01	5.240443e-02	9.151625e-02	1.940245e-02	3.616207e-02	1.155319e-01	1.078482e-01	2.829007e-02	6.578735e-02	9.341211e-02	3.682072e-02	1.046224e-01	8.822285e-03	1.841017e-02	6.401438e-02	1.184415e-02	1.673753e-02
2.617450e+03	3.019314e-01	4.782361e-01	3.474564e-01	2.245439e-01	1.155239e-01	1.230430e-01	1.189468e-01	1.007657e-01	5.106092e-02	1.160861e-01	2.059310e-01	5.335311e-02	9.650742e-02	1.187876e-01	3.011365e-02	6.244430e-02	1.118078e-02	3.404289e-03	5.154279e-02	5.691190e-03	1.088172e-02
2.618000e+03	2.029815e-01	3.797851e-01	3.383857e-01	2.760004e-01	1.544553e-01	1.004443e-01	2.084639e-01	2.061388e-02	2.976067e-02	5.379615e-02	1.079352e-01	4.057403e-02	1.299385e-01	5.834885e-02	3.580531e-02	8.527685e-02	1.535440e-02	1.950520e-02	2.772802e-02	2.414989e-02	8.997655e-03
2.618550e+03	3.437395e-01	4.251820e-01	4.611443e-01	3.800984e-01	1.522448e-01	1.710104e-02	1.706368e-01	1.179664e-01	1.078078e-02	3.224390e-02	9.496731e-02	5.919148e-02	6.145514e-02	4.489016e-02	5.039735e-02	7.204099e-02	3.116089e-02	1.405002e-02	2.798210e-02	1.830006e-02	2.126758e-02
2.619100e+03	2.032522e-01	4.584989e-01	3.107594e-01	8.986668e-02	1.595169e-01	9.503212e-02	8.151886e-02	4.664214e-02	6.691872e-02	6.113272e-02	1.272828e-01	3.035100e-02	1.043055e-01	1.068839e-01	5.522771e-02	6.606560e-02	2.419375e-02	1.015112e-02	4.349882e-02	1.343616e-02	1.896311e-02
2.619650e+03	1.027021e-01	3.801260e-01	1.386950e-01	4.142706e-01	1.528452e-01	1.336520e-01	6.367429e-02	3.820709e-02	8.797327e-02	1.813030e-02	1.571166e-01	4.424000e-02	1.355345e-01	9.790944e-02	3.730690e-02	1.156620e-01	2.102888e-02	1.367511e-02	4.595754e-02	1.432942e-02	2.223432e-02
2.620200e+03	5.797605e-01	2.368905e-01	3.254887e-01	3.577072e-01	1.067198e-01	7.532393e-02	3.211540e-01	1.318525e-01	8.735336e-02	8.951870e-02	1.237986e-01	6.268153e-02	5.049788e-02	3.612871e-02	4.819847e-02	7.692817e-02	2.329065e-02	1.881432e-02	5.102150e-02	1.802831e-02	1.435577e-02
2.620750e+03	4.746350e-01	4.242735e-01	1.224956e-01	2.168217e-01	1.720762e-01	1.394899e-01	1.249164e-01	9.879953e-02	5.247176e-02	3.346307e-02	9.724864e-02	1.018715e-01	9.227466e-02	1.317384e-01	3.561803e-02	4.571257e-02	2.694201e-02	5.307416e-03	5.026634e-02	9.845861e-03	1.415824e-02
2.621300e+03	8.138194e-02	5.090405e-01	2.678826e-01	2.623880e-01	2.006300e-01	5.898400e-02	7.202136e-02	4.808804e-02	9.013697e-02	8.573227e-03	1.353503e-01	1.954434e-02	1.544259e-01	9.227475e-02	7.793665e-02	7.667663e-02	2.015807e-02	1.459243e-02	1.534520e-02	6.089048e-03	1.036658e-02
2.621850e+03	2.490890e-01	2.588277e-01	3.583568e-01	5.406656e-01	1.016147e-01	6.123082e-02	1.397036e-01	7.018835e-02	1.356488e-01	8.905094e-02	1.219027e-01	2.107297e-02	8.435195e-02	5.928944e-02	5.801202e-02	1.222580e-01	3.869665e-02	1.963900e-02	1.978831e-02	2.446760e-02	1.890004e-02
2.622400e+03	7.161392e-01	3.149798e-01	1.279725e-01	2.061272e-01	2.144350e-01	1.269125e-01	2.705008e-01	1.101743e-01	6.894176e-02	9.415522e-02	1.072218e-01	1.071631e-01	7.637210e-02	8.506769e-02	3.899030e-02	3.399006e-02	1.817799e-02	4.104287e-03	6.060960e-02	1.010716e-02	1.132031e-02
2.622950e+03	3.587320e-01	3.247335e-01	3.410161e-01	2.389057e-01	2.533981e-01	9.896460e-02	1.711875e-02	8.256063e-02	1.246177e-01	4.182557e-02	1.237683e-01	8.130648e-02	1.226927e-01	1.708382e-01	6.181461e-02	7.962350e-02	9.722587e-03	1.564092e-02	5.193825e-02	1.683377e-02	1.704493e-02
2.623500e+03	2.954132e-01	4.644830e-01	2.502386e-01	3.572698e-01	1.461076e-01	5.530826e-02	1.146322e-01	1.169491e-01	8.960286e-02	1.689743e-02	1.239548e-01	4.238728e-02	1.108988e-01	6.818265e-02	6.470303e-02	7.137822e-02	2.841893e-02	2.498412e-02	9.874098e-03	1.207032e-02	2.020641e-02
